Symbol,Date,Quote
BRKBD.BA,9/11/2025,22.36
BRKBD.BA,9/10/2025,22.36
BRKBD.BA,9/9/2025,22.52
BRKBD.BA,9/8/2025,22.54
BRKBD.BA,9/7/2025,22.81
BRKBD.BA,9/6/2025,22.81
BRKBD.BA,9/5/2025,22.81
BRKBD.BA,9/4/2025,23.07
BRKBD.BA,9/3/2025,22.81
BRKBD.BA,9/2/2025,22.83
BRKBD.BA,9/1/2025,23.05
BRKBD.BA,8/31/2025,22.80
BRKBD.BA,8/30/2025,22.80
BRKBD.BA,8/29/2025,22.80
BRKBD.BA,8/28/2025,22.75
BRKBD.BA,8/27/2025,22.55
BRKBD.BA,8/26/2025,22.40
BRKBD.BA,8/25/2025,22.11
BRKBD.BA,8/24/2025,22.27
BRKBD.BA,8/23/2025,22.27
BRKBD.BA,8/22/2025,22.27
BRKBD.BA,8/21/2025,22.20
BRKBD.BA,8/20/2025,22.28
BRKBD.BA,8/19/2025,22.17
BRKBD.BA,8/18/2025,21.79
BRKBD.BA,8/17/2025,21.83
BRKBD.BA,8/16/2025,21.83
BRKBD.BA,8/15/2025,21.83
BRKBD.BA,8/14/2025,21.83
BRKBD.BA,8/13/2025,21.82
BRKBD.BA,8/12/2025,21.40
BRKBD.BA,8/11/2025,21.12
BRKBD.BA,8/10/2025,21.19
BRKBD.BA,8/9/2025,21.19
BRKBD.BA,8/8/2025,21.19
BRKBD.BA,8/7/2025,21.03
BRKBD.BA,8/6/2025,21.33
BRKBD.BA,8/5/2025,21.16
BRKBD.BA,8/4/2025,20.87
BRKBD.BA,8/3/2025,21.66
BRKBD.BA,8/2/2025,21.66
BRKBD.BA,8/1/2025,21.66
BRKBD.BA,7/31/2025,21.53
BRKBD.BA,7/30/2025,21.57
BRKBD.BA,7/29/2025,21.73
BRKBD.BA,7/28/2025,21.93
BRKBD.BA,7/27/2025,22.10
BRKBD.BA,7/26/2025,22.10
BRKBD.BA,7/25/2025,22.10
BRKBD.BA,7/24/2025,21.96
BRKBD.BA,7/23/2025,22.00
BRKBD.BA,7/22/2025,21.81
BRKBD.BA,7/21/2025,21.68
BRKBD.BA,7/20/2025,21.60
BRKBD.BA,7/19/2025,21.60
BRKBD.BA,7/18/2025,21.60
BRKBD.BA,7/17/2025,21.60
BRKBD.BA,7/16/2025,21.52
BRKBD.BA,7/15/2025,21.43
BRKBD.BA,7/14/2025,21.70
BRKBD.BA,7/13/2025,21.67
BRKBD.BA,7/12/2025,21.67
BRKBD.BA,7/11/2025,21.67
BRKBD.BA,7/10/2025,21.77
BRKBD.BA,7/9/2025,21.78
BRKBD.BA,7/8/2025,21.78
BRKBD.BA,7/7/2025,21.78
BRKBD.BA,7/6/2025,22.44
BRKBD.BA,7/5/2025,22.44
BRKBD.BA,7/4/2025,22.44
BRKBD.BA,7/3/2025,22.11
BRKBD.BA,7/2/2025,21.84
BRKBD.BA,7/1/2025,22.35
BRKBD.BA,6/30/2025,22.15
BRKBD.BA,6/29/2025,22.17
BRKBD.BA,6/28/2025,22.17
BRKBD.BA,6/27/2025,22.17
